Gaby,Player,Years,,John,Player,Years,,Kevin F,Player,Years
F,Bowen,2,,F,Pedro,1,,F,Solanke,0
F,Mateta,1,,F,Thiago,2,,F,Isak,1
F,Welbeck,3,,F,Barry,3,,F,Watkins,3
M,Saka,2,,M,Bruno,2,,M,Gordon,1
M,Amad,2,,M,Rogers,2,,M,Rice,3
M,Marmoush,3,,M,Salah,3,,M,Tielemans,3
M,Ndiaye,3,,M,Wirtz,3,,M,Martinelli,3
M,Malen,3,,M,Johnson,3,,M,Gittens,3
D,Saliba,0,,D,Kerkez,2,,D,Gabriel,2
D,Milenkovic,3,,D,Frimpong,3,,D,Munoz,2
D,Cucurella,3,,D,Chalobah,3,,D,Porro,3
D,Hall,3,,D,N. Williams,3,,D,Lewis-Potter,3
D,Wan-Bissaka,3,,D,Dorgu,3,,D,Mykolenko,3
GK,Sels,3,,GK,Raya,3,,GK,Pickford,3
GK,Martinez,3,,GK,Alisson,3,,GK,Sanchez,3
,,,,,,,,,,
Kevin T,Player,Years,,Mark,Player,Years,,Michael,Player,Years
F,Gyokores,3,,F,Jimenez,2,,F,Strand Larsen,2
F,Wood,2,,F,Igor Jesus,3,,F,Delap,2
F,Muniz,3,,F,Guiu,3,,F,Beto,3
M,Cunha,1,,M,Eze,1,,M,Palmer,1
M,Schade,2,,M,Gakpo,1,,M,Mbeumo,0
M,Minteh,2,,M,Elanga,2,,M,Semenyo,2
M,Kudus,2,,M,Iwobi,3,,M,Rutter,3
M,Kulusevski,3,,M,McGinn,3,,M,Dewsbury Hall,3
D,Diatike,3,,D,Gvardiol,1,,D,Ait Nouri,3
D,Ruben Dias,3,,D,Timber,3,,D,James,3
D,Agbadou,3,,D,Mitchell,3,,D,Diouf,3
D,Richards,3,,D,Murillo,3,,D,De Cuyper,3
D,Van Hecke,3,,D,De Ligt,3,,D,Aina,3
GK,Vicario,3,,GK,Henderson,3,,GK,Pope,3
GK,Areola,3,,GK,Bizot,3,,GK,Leno,3
,,,,,,,,,,
Steve,Player,Years,,Tucker,Player,Years,,Kevin S,Player,Years
F,Jackson,1,,F,Piroe,3,,F,Evanilson,3
F,Ekitike,3,,F,Mayenda,3,,F,Wissa,2
F,Hojlund,3,,F,Richarlison,3,,F,Füllkrug,2
M,Kluivert,2,,M,Mitoma,0,,M,Grealish,2
M,Foden,2,,M,Doku,2,,M,Reijnders,3
M,Pedro Neto,2,,M,MGW,1,,M,Estêvão,3
M,Bruno G,3,,M,Enzo,2,,M,Madueke,3
M,Damsgaard,3,,M,Savio,2,,M,Maddison,3
D,Tarkowski,2,,D,Robinson,3,,D,Virgil,2
D,Schar,3,,D,Sanesi,3,,D,Konate,2
D,Guehi,3,,D,Romero,3,,D,Livramento,3
D,Burn,3,,D,Van de ven ,3,,D,Matheus,3
D,Konsa,3,,D,Anderson,3,,D,Bradley,3
GK,Trafford,3,,GK,Kelleher ,3,,GK,Dubravka,3
GK,Ederson,3,,GK,Verbuggen ,3,,GK,Perri,3
,,,,,,,,,,
Scott,Player,Years,,,,,,,,
F,Haaland,0,,,,,,,,
F,Havertz,2,,,,,,,,
F,Sesko,3,,,,,,,,
M,Odegaard,0,,,,,,,,
M,Rodri,1,,,,,,,,
M,Sarr,2,,,,,,,,
M,Cherki,3,,,,,,,,
M,Guessend,3,,,,,,,,
D,Lacroix,3,,,,,,,,
D,Brantwaithe,3,,,,,,,,
D,Lewis-Skelly,3,,,,,,,,
D,Khusanov,3,,,,,,,,
D,Collins,3,,,,,,,,
GK,Sa,3,,,,,,,,
GK,Petrovic,3,,,,,,,,
