Future Discovery Draft Trades,,,,,,,,,,,,,,,,,,,,,,
"Kevin T owns Steve's 2027 Discovery 1st, 2029 Discovery 2nd, 2031 Discovery 2nd",,,,,,,,,,,,,,,,,,,,,,
Tucker owns Kevin T's 2028 Discovery 2nd; Kevin T owns Tucker's 2027 Discovery 2nd,,,,,,,,,,,,,,,,,,,,,,
Tucker owns Kevin T's 2028 Discovery 1st,,,,,,,,,,,,,,,,,,,,,,
Kevin T owns Tucker's 2027 Discovery 1st,,,,,,,,,,,,,,,,,,,,,,
Kevin T owns Steve's 2028 Discovery 2nd,,,,,,,,,,,2026 R1,2026 R2,2027 R1,2027 R2,2028 R1,2028 R2,2029 R1,2029 R2,2030 R1,2030 R2,2031 R1,2031 R2
Kevin T owns Gaby's 2027 Discovery 2nd,,,,,,,,,,Tucker,,,Kevin T,Kevin T,,,,,,,,
Kevin T owns Steve's 2027 discovery 2nd,,,,,,,,,,Steve,,Kevin T,Kevin T,Kevin T,,Kevin T,,Kevin T,,,,Kevin T
"Kevin T owns Scott's 2027 Discovery 1st, 2027 Discovery 2nd",,,,,,,,,,KF,,,,,,,,,,,,
Kevin S owns Scott's 2026 discovery 1st,,,,,,,,,,Scott,Kevin S,,Kevin T,Kevin T,,,,,,,,
Kevin T owns Steve's 2026 discovery 2nd,,,,,,,,,,John,,,,,,,,,,,,
Scott owns Mark's 2026 discovery 2nd,,,,,,,,,,Kevin S,,,,,,,,,,,,
John owns Scott's 2028 discovery 2nd,,,,,,,,,,Mark,,Scott,,,,,,,,,,
,,,,,,,,,,Gaby,,,,Kevin T,,,,,,,,
,,,,,,,,,,Michael,,,,,,,,,,,,
,,,,,,,,,,Kevin T,,,,,Tucker,Tucker,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2025/2026,,,,,,,,,,,,,,,,,,,,,,
Round 1,,,Round 2,,,,,,,,,,,,,,,,,,,
1,John,Harry Kane,11,Kevin T,Dusan Vlahovic,,,,,,,,,,,,,,,,,
2,Steve,Rodrygo,12,Michael,Sem Steijn,,,,,,,,,,,,,,,,,
3,Kevin F,Oihan Sancet,13,Gaby,Nuno Mendes,,,,,,,,,,,,,,,,,
4,Scott,the horseman Jean-Matteo Bahoya ,14,Mark,Malik Fofana,,,,,,,,,,,,,,,,,
5,Tucker,Samu Aghehowa,15,Kevin S,Ademola Lookman,,,,,,,,,,,,,,,,,
6,Kevin S,Bradley Barcola,16,Tucker,Emanuel Emegha,,,,,,,,,,,,,,,,,
7,Mark,Serhou Guirassy,17,Kevin T,Victor Boniface,,,,,,,,,,,,,,,,,
8,Gaby,Desire Doue,18,Kevin F,Fermin Lopez,,,,,,,,,,,,,,,,,
9,Michael,Can Uzun,19,Mark,Julian Alvarez,,,,,,,,,,,,,,,,,
10,Kevin T,Michael Olise,20,Gaby,Marcus Thuram,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2024/2025,,,,,,,,,,,,,,,,,,,,,,
Round1,,,Round 2,,,,,,,,,,,,,,,,,,,
1,Gaby,Osimhen,11,John,Johan Bakayoko,,,,,,,,,,,,,,,,,
2,Mark,Xavi Simons,12,Michael,Santi Gimenez,,,2024 Discovery Trades,,,,,,,,,,,,,,
